Crop,Year,Season,State,Area,Production,Rainfall,Yield,season_code,crop_code
Rice,2002,Summer,Assam,327468.0,622358,1973.6,1.794347826,3,2
Rice,2002,Winter,Assam,1748715.0,2670560,1973.6,1.545652174,5,2
Wheat,2002,Rabi,Assam,69061.0,77952,1973.6,1.152272727,2,3
Rice,2002,Kharif,Goa,33728.0,90072,2516.3,2.67,1,2
Rice,2002,Rabi,Goa,16441.0,44695,2516.3,2.72,2,2
Rice,2002,Autumn,Kerala,112438.0,233217,2511.2,2.130769231,0,2
Rice,2002,Summer,Kerala,41079.0,111850,2511.2,2.212142857,3,2
Rice,2002,Winter,Kerala,157004.0,343792,2511.2,2.123571429,5,2
Maize,2002,Kharif,Tamil Nadu,121057.0,191646,315.9,1.806956522,1,0
Onion,2002,Whole Year,Tamil Nadu,23492.0,198715,315.9,8.54625,4,1
Rice,2002,Kharif,Tamil Nadu,1516537.0,3577108,315.9,2.884642857,1,2
Maize,2002,Kharif,West Bengal,27724.0,55300,1629.1,1.895384615,1,0
Rice,2002,Autumn,West Bengal,384965.0,796652,1629.1,2.092777778,0,2
Rice,2002,Summer,West Bengal,1406078.0,4198595,1629.1,2.747777778,3,2
Rice,2002,Winter,West Bengal,4051084.0,9393991,1629.1,2.221666667,5,2
Wheat,2002,Rabi,West Bengal,405350.0,887437,1629.1,1.992777778,2,3
Maize,2003,Kharif,Andhra Pradesh,557812.0,1671502,826.0,2.420909091,1,0
Maize,2003,Rabi,Andhra Pradesh,162802.0,805284,826.0,5.081818182,2,0
Onion,2003,Kharif,Andhra Pradesh,16862.0,234546,826.0,12.80157895,1,1
Onion,2003,Rabi,Andhra Pradesh,12187.0,284935,826.0,19.88333333,2,1
Rice,2003,Kharif,Andhra Pradesh,2108904.0,5841539,826.0,2.670909091,1,2
Rice,2003,Rabi,Andhra Pradesh,865734.0,3111263,826.0,2.729090909,2,2
Wheat,2003,Rabi,Andhra Pradesh,11928.0,6741,826.0,0.481818182,2,3
Maize,2003,Kharif,Assam,19569.0,14051,2213.7,0.607391304,1,0
Onion,2003,Whole Year,Assam,7332.0,17142,2213.7,2.34173913,4,1
Rice,2003,Autumn,Assam,441143.0,430374,2213.7,1.118695652,0,2
Rice,2003,Summer,Assam,319480.0,573189,2213.7,1.493913043,3,2
Rice,2003,Winter,Assam,1769203.0,2877371,2213.7,1.618695652,5,2
Wheat,2003,Rabi,Assam,69954.0,73186,2213.7,1.040909091,2,3
Rice,2003,Kharif,Goa,35471.0,115996,3011.6,3.27,1,2
Rice,2003,Rabi,Goa,17330.0,54665,3011.6,3.15,2,2
Maize,2003,Kharif,Karnataka,545546.0,1066107,867.6,2.3356,1,0
Maize,2003,Rabi,Karnataka,64199.0,123529,867.6,1.943478261,2,0
Maize,2003,Summer,Karnataka,8428.0,20264,867.6,2.470909091,3,0
Onion,2003,Whole Year,Karnataka,101221.0,360469,867.6,6.0956,4,1
Rice,2003,Kharif,Karnataka,944272.0,2100123,867.6,2.133333333,1,2
Rice,2003,Rabi,Karnataka,54629.0,158046,867.6,2.892,2,2
Rice,2003,Summer,Karnataka,74998.0,292230,867.6,3.8768,3,2
Wheat,2003,Rabi,Karnataka,231994.0,96150,867.6,0.516428571,2,3
Rice,2003,Autumn,Kerala,102770.0,220132,2386.0,2.140769231,0,2
Rice,2003,Summer,Kerala,37186.0,83239,2386.0,1.845,3,2
Rice,2003,Winter,Kerala,147384.0,266674,2386.0,1.960714286,5,2
Maize,2003,Kharif,Meghalaya,16900.0,25929,3321.3,1.528571429,1,0
Rice,2003,Kharif,Meghalaya,109721.0,200703,3321.3,1.798571429,1,2
Wheat,2003,Rabi,Meghalaya,862.0,1540,3321.3,1.49,2,3
Onion,2003,Whole Year,Puducherry,7.0,100,1434.5875,8.75,4,1
Rice,2003,Kharif,Puducherry,25065.0,67003,1434.5875,2.993333333,1,2
Maize,2003,Kharif,Tamil Nadu,160159.0,250992,345.6,1.7856,1,0
Onion,2003,Whole Year,Tamil Nadu,23452.0,211173,345.6,8.768076923,4,1
Rice,2003,Kharif,Tamil Nadu,1396651.0,3222776,345.6,2.728214286,1,2
Maize,2003,Kharif,West Bengal,55530.0,126059,1526.7,2.133333333,1,0
Rice,2003,Autumn,West Bengal,339753.0,719205,1526.7,2.131666667,0,2
Rice,2003,Summer,West Bengal,1390148.0,4289454,1526.7,2.879444444,3,2
Rice,2003,Winter,West Bengal,4126706.0,9653580,1526.7,2.283333333,5,2
Wheat,2003,Rabi,West Bengal,425721.0,985686,1526.7,2.194444444,2,3
Maize,2004,Kharif,Karnataka,783835.0,2310082,1117.7,3.0068,1,0
Maize,2004,Rabi,Karnataka,57478.0,171589,1117.7,2.84826087,2,0
Maize,2004,Summer,Karnataka,9056.0,27678,1117.7,3.007826087,3,0
Onion,2004,Whole Year,Karnataka,136038.0,841333,1117.7,7.8688,4,1
Rice,2004,Kharif,Karnataka,1055061.0,2627561,1117.7,2.37,1,2
Rice,2004,Rabi,Karnataka,43861.0,144235,1117.7,3.388666667,2,2
Rice,2004,Summer,Karnataka,209257.0,935326,1117.7,4.251666667,3,2
Wheat,2004,Rabi,Karnataka,241991.0,206296,1117.7,0.845333333,2,3
Rice,2004,Autumn,Kerala,105349.0,241824,2880.2,2.271538462,0,2
Rice,2004,Summer,Kerala,35732.0,89752,2880.2,2.256923077,3,2
Rice,2004,Winter,Kerala,148893.0,335529,2880.2,2.175714286,5,2
Maize,2004,Kharif,Meghalaya,16875.0,24000,4767.9,1.465714286,1,0
Rice,2004,Autumn,Meghalaya,32667.0,37766,4767.9,1.492857143,0,2
Rice,2004,Summer,Meghalaya,9224.0,37439,4767.9,2.078333333,3,2
Rice,2004,Winter,Meghalaya,69659.0,118514,4767.9,1.792857143,5,2
Wheat,2004,Rabi,Meghalaya,863.0,1564,4767.9,1.156666667,2,3
Maize,2004,Kharif,Tamil Nadu,189893.0,294717,1034.0,1.758846154,1,0
Onion,2004,Whole Year,Tamil Nadu,26491.0,256359,1034.0,9.490357143,4,1
Rice,2004,Kharif,Tamil Nadu,1872822.0,5061622,1034.0,3.015172414,1,2
Maize,2005,Kharif,Andhra Pradesh,593135.0,2098190,1075.5,3.803636364,1,0
Maize,2005,Rabi,Andhra Pradesh,164827.0,988711,1075.5,6.032272727,2,0
Onion,2005,Kharif,Andhra Pradesh,20434.0,364201,1075.5,15.5455,1,1
Onion,2005,Rabi,Andhra Pradesh,15952.0,332092,1075.5,20.49047619,2,1
Rice,2005,Kharif,Andhra Pradesh,2526108.0,6376990,1075.5,2.549090909,1,2
Rice,2005,Rabi,Andhra Pradesh,1455643.0,5326634,1075.5,3.132272727,2,2
Wheat,2005,Rabi,Andhra Pradesh,11109.0,8891,1075.5,0.774,2,3
Maize,2005,Kharif,Assam,18969.0,13745,2184.6,0.635925926,1,0
Onion,2005,Whole Year,Assam,7726.0,18291,2184.6,2.373333333,4,1
Rice,2005,Autumn,Assam,398316.0,398077,2184.6,1.132222222,0,2
Rice,2005,Summer,Assam,314671.0,559969,2184.6,1.637692308,3,2
Rice,2005,Winter,Assam,1707340.0,2594392,2184.6,1.502592593,5,2
Wheat,2005,Rabi,Assam,49961.0,53735,2184.6,1.084230769,2,3
Maize,2005,Kharif,Karnataka,842243.0,2486900,1316.2,3.1212,1,0
Maize,2005,Rabi,Karnataka,81621.0,282618,1316.2,3.341304348,2,0
Maize,2005,Summer,Karnataka,11990.0,37005,1316.2,3.096666667,3,0
Onion,2005,Kharif,Karnataka,136344.0,759619,1316.2,6.543913043,1,1
Onion,2005,Rabi,Karnataka,10900.0,112992,1316.2,10.36952381,2,1
Onion,2005,Summer,Karnataka,4075.0,67545,1316.2,16.31842105,3,1
Rice,2005,Kharif,Karnataka,1075993.0,2770413,1316.2,2.50962963,1,2
Rice,2005,Rabi,Karnataka,44944.0,97483,1316.2,2.2675,2,2
Rice,2005,Summer,Karnataka,364244.0,1131350,1316.2,3.0144,3,2
Wheat,2005,Rabi,Karnataka,252588.0,226369,1316.2,0.880714286,2,3
Rice,2005,Autumn,Kerala,98256.0,212520,3030.9,2.096923077,0,2
Rice,2005,Summer,Kerala,21857.0,59733,3030.9,2.345714286,3,2
Rice,2005,Winter,Kerala,155629.0,357734,3030.9,2.189285714,5,2
Maize,2005,Kharif,Meghalaya,16898.0,24424,3374.4,1.481428571,1,0
Rice,2005,Autumn,Meghalaya,32678.0,43762,3374.4,1.597142857,0,2
Rice,2005,Summer,Meghalaya,9791.0,39910,3374.4,2.245,3,2
Rice,2005,Winter,Meghalaya,63602.0,124605,3374.4,1.971428571,5,2
Wheat,2005,Rabi,Meghalaya,670.0,1198,3374.4,1.306666667,2,3
Maize,2005,Kharif,Tamil Nadu,202830.0,0,1364.1,0.0,1,0
Onion,2005,Whole Year,Tamil Nadu,29169.0,233796,1364.1,8.07826087,4,1
Rice,2005,Kharif,Tamil Nadu,2050455.0,5209433,1364.1,2.895517241,1,2
Maize,2005,Kharif,West Bengal,71753.0,207252,1650.1,2.601764706,1,0
Rice,2005,Autumn,West Bengal,288129.0,605612,1650.1,2.116111111,0,2
Rice,2005,Summer,West Bengal,1381957.0,4047038,1650.1,2.767222222,3,2
Rice,2005,Winter,West Bengal,4112863.0,9858092,1650.1,2.317222222,5,2
Wheat,2005,Rabi,West Bengal,366729.0,773514,1650.1,1.953333333,2,3
Onion,2006,Rabi,Puducherry,1.0,4,1434.5875,4.0,2,1
Onion,2006,Summer,Puducherry,2.0,10,1434.5875,5.0,3,1
Rice,2006,Kharif,Puducherry,5010.0,13285,1434.5875,2.64,1,2
Rice,2006,Rabi,Puducherry,12061.0,33581,1434.5875,4.05,2,2
Rice,2006,Summer,Puducherry,4574.0,13942,1434.5875,3.05,3,2
Maize,2006,Kharif,Meghalaya,17039.0,25334,2454.7,1.541428571,1,0
Rice,2006,Autumn,Meghalaya,32679.0,44736,2454.7,1.641428571,0,2
Rice,2006,Rabi,Meghalaya,9854.0,39940,2454.7,2.077142857,2,2
Rice,2006,Winter,Meghalaya,61752.0,115533,2454.7,1.852857143,5,2
Wheat,2006,Rabi,Meghalaya,656.0,1183,2454.7,1.32,2,3
Maize,2006,Kharif,Andhra Pradesh,535709.0,1284991,845.2,2.942727273,1,0
Maize,2006,Rabi,Andhra Pradesh,190172.0,1177003,845.2,6.363181818,2,0
Onion,2006,Kharif,Andhra Pradesh,18601.0,306843,845.2,15.37055556,1,1
Onion,2006,Rabi,Andhra Pradesh,12439.0,272602,845.2,19.59105263,2,1
Rice,2006,Kharif,Andhra Pradesh,2640870.0,6949186,845.2,2.689090909,1,2
Rice,2006,Rabi,Andhra Pradesh,1337020.0,4922944,845.2,3.036818182,2,2
Wheat,2006,Rabi,Andhra Pradesh,10016.0,8796,845.2,0.68,2,3
Maize,2006,Kharif,Assam,18657.0,13557,1774.9,0.6252,1,0
Onion,2006,Whole Year,Assam,6870.0,16775,1774.9,2.384814815,4,1
Rice,2006,Autumn,Assam,379441.0,335708,1774.9,1.028148148,0,2
Rice,2006,Summer,Assam,312471.0,630162,1774.9,1.837037037,3,2
Rice,2006,Winter,Assam,1504647.0,1950144,1774.9,1.269259259,5,2
Wheat,2006,Rabi,Assam,59573.0,67413,1774.9,1.134444444,2,3
Maize,2006,Kharif,Karnataka,865850.0,2354023,1146.3,2.7448,1,0
Maize,2006,Rabi,Karnataka,78902.0,237039,1146.3,2.7208,2,0
Maize,2006,Summer,Karnataka,15780.0,50467,1146.3,3.203333333,3,0
Onion,2006,Whole Year,Karnataka,151289.0,859132,1146.3,6.4348,4,1
Rice,2006,Kharif,Karnataka,1066981.0,2723038,1146.3,2.428148148,1,2
Rice,2006,Rabi,Karnataka,44063.0,99796,1146.3,2.335333333,2,2
Rice,2006,Summer,Karnataka,284632.0,822692,1146.3,2.6825,3,2
Wheat,2006,Rabi,Karnataka,269494.0,223806,1146.3,0.810714286,2,3
Rice,2006,Autumn,Kerala,83859.0,191241,3429.7,2.270769231,0,2
Rice,2006,Summer,Kerala,35946.0,103571,3429.7,2.497857143,3,2
Rice,2006,Winter,Kerala,143724.0,346763,3429.7,2.286428571,5,2
Maize,2006,Whole Year,Tamil Nadu,197782.0,759112,927.9,4.483076923,4,0
Onion,2006,Whole Year,Tamil Nadu,29587.0,258333,927.9,8.720454545,4,1
Rice,2006,Kharif,Tamil Nadu,1931397.0,6610607,927.9,3.584827586,1,2
Maize,2006,Kharif,West Bengal,85446.0,253505,1631.4,2.723125,1,0
Rice,2006,Autumn,West Bengal,283859.0,575294,1631.4,2.001111111,0,2
Rice,2006,Summer,West Bengal,1401233.0,4520656,1631.4,3.028888889,3,2
Rice,2006,Winter,West Bengal,4001936.0,9649942,1631.4,2.291666667,5,2
Wheat,2006,Rabi,West Bengal,350621.0,799876,1631.4,2.168888889,2,3
Onion,2007,Rabi,Puducherry,3.0,25,1434.5875,8.33,2,1
Rice,2007,Kharif,Puducherry,4379.0,12878,1434.5875,2.986666667,1,2
Rice,2007,Rabi,Puducherry,11411.0,28051,1434.5875,3.02,2,2
Rice,2007,Summer,Puducherry,4647.0,12395,1434.5875,2.21,3,2
Maize,2007,Kharif,Assam,18362.0,13317,2154.1,0.60962963,1,0
Onion,2007,Whole Year,Assam,6697.0,16323,2154.1,2.37037037,4,1
Rice,2007,Autumn,Assam,354115.0,347992,2154.1,1.082592593,0,2
Rice,2007,Summer,Assam,322889.0,731851,2154.1,2.085925926,3,2
Rice,2007,Winter,Assam,1646992.0,2238765,2154.1,1.36962963,5,2
Wheat,2007,Rabi,Assam,56069.0,70797,2154.1,1.225185185,2,3
Maize,2007,Kharif,Karnataka,1015117.0,2950506,1323.3,3.112962963,1,0
Maize,2007,Rabi,Karnataka,77654.0,260972,1323.3,3.109230769,2,0
Maize,2007,Summer,Karnataka,20026.0,64553,1323.3,3.179259259,3,0
Onion,2007,Kharif,Karnataka,165668.0,987538,1323.3,6.5028,1,1
Onion,2007,Rabi,Karnataka,11727.0,98738,1323.3,8.509047619,2,1
Onion,2007,Summer,Karnataka,4706.0,39752,1323.3,7.833809524,3,1
Rice,2007,Kharif,Karnataka,1051466.0,2791181,1323.3,2.567586207,1,2
Rice,2007,Rabi,Karnataka,40325.0,86756,1323.3,2.255333333,2,2
Rice,2007,Summer,Karnataka,324525.0,990578,1323.3,2.846923077,3,2
Wheat,2007,Rabi,Karnataka,275583.0,280384,1323.3,1.018,2,3
Rice,2007,Autumn,Kerala,77533.0,168108,3489.6,2.07,0,2
Rice,2007,Summer,Kerala,45447.0,109277,3489.6,2.335714286,3,2
Rice,2007,Winter,Kerala,105958.0,251103,3489.6,2.252857143,5,2
Maize,2007,Whole Year,Tamil Nadu,223428.0,810057,1067.2,4.077307692,4,0
Onion,2007,Whole Year,Tamil Nadu,29809.0,287208,1067.2,9.574347826,4,1
Rice,2007,Kharif,Tamil Nadu,1789170.0,5039954,1067.2,3.213793103,1,2
Maize,2007,Kharif,West Bengal,34570.0,72463,2007.5,1.775454545,1,0
Maize,2007,Rabi,West Bengal,17363.0,81620,2007.5,3.295,2,0
Maize,2007,Summer,West Bengal,25240.0,90290,2007.5,2.845294118,3,0
Rice,2007,Autumn,West Bengal,281618.0,565825,2007.5,1.956111111,0,2
Rice,2007,Summer,West Bengal,1511593.0,4926105,2007.5,3.048888889,3,2
Rice,2007,Winter,West Bengal,3926544.0,9227590,2007.5,2.261666667,5,2
Wheat,2007,Rabi,West Bengal,352579.0,917284,2007.5,2.452222222,2,3
Rice,2008,Kharif,Puducherry,4493.0,12290,1434.5875,3.0,1,2
Rice,2008,Rabi,Puducherry,11306.0,24163,1434.5875,2.82,2,2
Rice,2008,Summer,Puducherry,4981.0,14263,1434.5875,2.125,3,2
Maize,2008,Kharif,Andhra Pradesh,497803.0,1566921,944.6,3.601818182,1,0
Maize,2008,Rabi,Andhra Pradesh,354157.0,2584881,944.6,6.952727273,2,0
Onion,2008,Kharif,Andhra Pradesh,26723.0,439644,944.6,15.30888889,1,1
Onion,2008,Rabi,Andhra Pradesh,13737.0,289004,944.6,18.40631579,2,1
Rice,2008,Kharif,Andhra Pradesh,2803076.0,8379635,944.6,2.913636364,1,2
Rice,2008,Rabi,Andhra Pradesh,1584140.0,5861498,944.6,3.236818182,2,2
Wheat,2008,Rabi,Andhra Pradesh,13687.0,15421,944.6,1.026666667,2,3
Maize,2008,Kharif,Assam,17382.0,12619,2109.9,0.595555556,1,0
Onion,2008,Whole Year,Assam,6963.0,16816,2109.9,2.381481481,4,1
Rice,2008,Autumn,Assam,350649.0,374010,2109.9,1.117777778,0,2
Rice,2008,Summer,Assam,360266.0,768582,2109.9,1.951153846,3,2
Rice,2008,Winter,Assam,1773211.0,2865843,2109.9,1.607407407,5,2
Wheat,2008,Rabi,Assam,50053.0,54551,2109.9,1.045769231,2,3
Maize,2008,Kharif,Karnataka,932901.0,2549564,1164.1,2.895555556,1,0
Maize,2008,Rabi,Karnataka,107533.0,319095,1164.1,2.845,2,0
Maize,2008,Summer,Karnataka,27868.0,87643,1164.1,3.073928571,3,0
Onion,2008,Kharif,Karnataka,117822.0,611170,1164.1,5.7176,1,1
Onion,2008,Rabi,Karnataka,13415.0,89581,1164.1,6.771363636,2,1
Onion,2008,Summer,Karnataka,3775.0,20587,1164.1,5.57952381,3,1
Rice,2008,Kharif,Karnataka,1129883.0,2906761,1164.1,2.513448276,1,2
Rice,2008,Rabi,Karnataka,40982.0,89072,1164.1,2.514166667,2,2
Rice,2008,Summer,Karnataka,343122.0,1035706,1164.1,2.786923077,3,2
Wheat,2008,Rabi,Karnataka,268600.0,257181,1164.1,1.012857143,2,3
Rice,2008,Autumn,Kerala,79381.0,192770,2524.8,2.295384615,0,2
Rice,2008,Summer,Kerala,49762.0,148370,2524.8,2.446428571,3,2
Rice,2008,Winter,Kerala,105122.0,249101,2524.8,2.260714286,5,2
Maize,2008,Kharif,Meghalaya,17117.0,25716,3114.3,1.545714286,1,0
Rice,2008,Autumn,Meghalaya,32570.0,41908,3114.3,1.53,0,2
Rice,2008,Summer,Meghalaya,12752.0,46600,3114.3,2.154285714,3,2
Rice,2008,Winter,Meghalaya,62723.0,115354,3114.3,1.802857143,5,2
Wheat,2008,Rabi,Meghalaya,416.0,739,3114.3,1.245,2,3
Maize,2008,Whole Year,Tamil Nadu,286639.0,1257882,1201.9,5.226296296,4,0
Onion,2008,Whole Year,Tamil Nadu,30255.0,286040,1201.9,10.1544,4,1
Rice,2008,Kharif,Tamil Nadu,1931603.0,5183385,1201.9,3.562580645,1,2
Maize,2008,Autumn,West Bengal,36843.0,97825,1560.1,2.369090909,0,0
Maize,2008,Rabi,West Bengal,17955.0,91856,1560.1,3.217272727,2,0
Maize,2008,Summer,West Bengal,35976.0,153753,1560.1,2.743529412,3,0
Rice,2008,Autumn,West Bengal,292444.0,604968,1560.1,2.04,0,2
Rice,2008,Summer,West Bengal,1556662.0,4358011,1560.1,2.646666667,3,2
Rice,2008,Winter,West Bengal,4086590.0,10074261,1560.1,2.393888889,5,2
Wheat,2008,Rabi,West Bengal,306985.0,764528,1560.1,2.172777778,2,3
Rice,2009,Kharif,Puducherry,4650.0,13501,1434.5875,2.893333333,1,2
Rice,2009,Rabi,Puducherry,11178.0,25378,1434.5875,2.903333333,2,2
Rice,2009,Summer,Puducherry,5098.0,13451,1434.5875,1.965,3,2
Maize,2009,Kharif,Andhra Pradesh,501624.0,996315,711.0,3.095,1,0
Maize,2009,Rabi,Andhra Pradesh,281008.0,1764883,711.0,6.097272727,2,0
Onion,2009,Kharif,Andhra Pradesh,22954.0,374804,711.0,15.85611111,1,1
Onion,2009,Rabi,Andhra Pradesh,13608.0,333288,711.0,25.09052632,2,1
Rice,2009,Kharif,Andhra Pradesh,2062870.0,5956396,711.0,2.790909091,1,2
Rice,2009,Rabi,Andhra Pradesh,1377866.0,4881871,711.0,3.098636364,2,2
Wheat,2009,Rabi,Andhra Pradesh,9872.0,10319,711.0,0.95,2,3
Maize,2009,Kharif,Assam,19481.0,13981,1727.1,0.617407407,1,0
Onion,2009,Whole Year,Assam,6785.0,15801,1727.1,2.375185185,4,1
Rice,2009,Autumn,Assam,340830.0,334655,1727.1,1.070740741,0,2
Rice,2009,Summer,Assam,394442.0,859790,1727.1,1.903703704,3,2
Rice,2009,Winter,Assam,1762324.0,3213979,1727.1,1.780740741,5,2
Wheat,2009,Rabi,Assam,60067.0,65301,1727.1,1.097037037,2,3
Maize,2009,Kharif,Karnataka,1108434.0,2585194,1321.0,2.418148148,1,0
Maize,2009,Rabi,Karnataka,103702.0,262272,1321.0,2.43962963,2,0
Maize,2009,Summer,Karnataka,28341.0,77530,1321.0,2.839642857,3,0
Onion,2009,Kharif,Karnataka,174311.0,615452,1321.0,4.2968,1,1
Onion,2009,Rabi,Karnataka,13815.0,81847,1321.0,7.0895,2,1
Onion,2009,Summer,Karnataka,3777.0,28828,1321.0,7.65,3,1
Rice,2009,Kharif,Karnataka,1102221.0,2734838,1321.0,2.397931034,1,2
Rice,2009,Rabi,Karnataka,37747.0,84636,1321.0,2.416666667,2,2
Rice,2009,Summer,Karnataka,346510.0,1057933,1321.0,2.806923077,3,2
Wheat,2009,Rabi,Karnataka,283427.0,263877,1321.0,0.919285714,2,3
Rice,2009,Autumn,Kerala,77249.0,192050,2821.5,2.303076923,0,2
Rice,2009,Summer,Kerala,49279.0,134005,2821.5,2.385,3,2
Rice,2009,Winter,Kerala,107485.0,272284,2821.5,2.286428571,5,2
Maize,2009,Kharif,Meghalaya,17209.0,26167,2995.9,1.574285714,1,0
Rice,2009,Autumn,Meghalaya,32560.0,41798,2995.9,1.542857143,0,2
Rice,2009,Summer,Meghalaya,12777.0,46943,2995.9,2.171428571,3,2
Rice,2009,Winter,Meghalaya,62825.0,115388,2995.9,1.802857143,5,2
Wheat,2009,Rabi,Meghalaya,405.0,718,2995.9,1.25,2,3
Maize,2009,Whole Year,Tamil Nadu,244159.0,1138126,928.5,4.798888889,4,0
Onion,2009,Whole Year,Tamil Nadu,31024.0,302563,928.5,9.8704,4,1
Rice,2009,Kharif,Tamil Nadu,1845553.0,5665258,928.5,3.539677419,1,2
Onion,2010,Rabi,Puducherry,1.0,7,1434.5875,7.0,2,1
Rice,2010,Kharif,Puducherry,4384.0,12602,1434.5875,2.673333333,1,2
Rice,2010,Rabi,Puducherry,10920.0,26585,1434.5875,3.446666667,2,2
Rice,2010,Summer,Puducherry,4710.0,12773,1434.5875,2.7,3,2
Maize,2010,Kharif,Assam,19772.0,14110,2578.5,0.61,1,0
Onion,2010,Whole Year,Assam,6906.0,15408,2578.5,2.308518519,4,1
Rice,2010,Autumn,Assam,307988.0,355825,2578.5,1.272592593,0,2
Rice,2010,Summer,Assam,398785.0,1027575,2578.5,2.342222222,3,2
Rice,2010,Winter,Assam,1830682.0,3649129,2578.5,1.958888889,5,2
Wheat,2010,Rabi,Assam,44772.0,56216,2578.5,1.196666667,2,3
Maize,2010,Kharif,Andhra Pradesh,439530.0,1639069,1297.0,3.821818182,1,0
Maize,2010,Rabi,Andhra Pradesh,303916.0,2313946,1297.0,7.073636364,2,0
Onion,2010,Kharif,Andhra Pradesh,25612.0,499564,1297.0,17.78625,1,1
Onion,2010,Rabi,Andhra Pradesh,17787.0,360959,1297.0,18.2145,2,1
Rice,2010,Kharif,Andhra Pradesh,2921793.0,7509866,1297.0,2.666818182,1,2
Rice,2010,Rabi,Andhra Pradesh,1829516.0,6909447,1297.0,3.325909091,2,2
Wheat,2010,Rabi,Andhra Pradesh,10085.0,13143,1297.0,1.311818182,2,3
Maize,2010,Kharif,Karnataka,1139899.0,3908386,1317.7,3.354285714,1,0
Maize,2010,Rabi,Karnataka,115803.0,321962,1317.7,2.8475,2,0
Maize,2010,Summer,Karnataka,30734.0,104275,1317.7,3.294137931,3,0
Onion,2010,Kharif,Karnataka,143154.0,893739,1317.7,6.8968,1,1
Onion,2010,Rabi,Karnataka,14430.0,98814,1317.7,7.219047619,2,1
