Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Coconut ,2000,Whole Year ,Karnataka,335996,1762403000,1213.3,32984727.32,87358.96,4673.661111
Cotton(lint),2000,Kharif     ,Karnataka,551763,855236,1213.3,54166573.71,143458.38,1.593333333
Onion,2000,Whole Year ,Karnataka,120358,645357,1213.3,11815544.86,31293.08,6.0164
Potato,2000,Whole Year ,Karnataka,38298,452462,1213.3,3759714.66,9957.48,11.70933333
Rice,2000,Kharif     ,Karnataka,1120549,2792657,1213.3,110004295.3,291342.74,2.357407407
Rice,2000,Rabi       ,Karnataka,52005,106335,1213.3,5105330.85,13521.3,2.064615385
Rice,2000,Summer     ,Karnataka,310892,947744,1213.3,30520267.64,80831.92,2.751304348
Wheat,2000,Rabi       ,Karnataka,266310,249880,1213.3,26143652.7,69240.6,0.93375
Banana,2000,Whole Year ,Kerala,45059,327955,2412.6,4423442.03,11715.34,7.457857143
Coconut ,2000,Whole Year ,Kerala,925783,5536000000,2412.6,90884117.11,240703.58,5617.002143
Cotton(lint),2000,Kharif     ,Kerala,3847,6209,2412.6,377659.99,1000.22,1.61
Rice,2000,Autumn     ,Kerala,129752,260306,2412.6,12737753.84,33735.52,1.938461538
Rice,2000,Summer     ,Kerala,55258,154606,2412.6,5424677.86,14367.08,2.23
Rice,2000,Winter     ,Kerala,162445,336416,2412.6,15947225.65,42235.7,2.042857143
Banana,2000,Whole Year ,Meghalaya,5377,64100,6258.8,527860.09,1398.02,11.36285714
Cotton(lint),2000,Kharif     ,Meghalaya,7340,7684,6258.8,720567.8,1908.4,1.036666667
Potato,2000,Whole Year ,Meghalaya,18318,144292,6258.8,1798278.06,4762.68,6.954285714
Rice,2000,Kharif     ,Meghalaya,102657,165907,6258.8,10077837.69,26690.82,1.681428571
Rice,2000,Rabi       ,Meghalaya,4003,13135,6258.8,392974.51,1040.78,1.744285714
Wheat,2000,Rabi       ,Meghalaya,4215,6892,6258.8,413786.55,1095.9,1.395
Banana,2000,Whole Year ,Puducherry,239,7532,1434.5875,23462.63,62.14,26.25
Coconut ,2000,Whole Year ,Puducherry,2233,24698000,1434.5875,219213.61,580.58,11937.4475
Cotton(lint),2000,Kharif     ,Puducherry,452,2300,1434.5875,44372.84,117.52,5.11
Onion,2000,Whole Year ,Puducherry,13,202,1434.5875,1276.21,3.38,15.54
Rice,2000,Kharif     ,Puducherry,42779,103606,1434.5875,4199614.43,11122.54,2.605
Coconut ,2000,Whole Year ,West Bengal,24511,330524800,1907.7,2406244.87,6372.86,13234.92556
Cotton(lint),2000,Kharif     ,West Bengal,1188,2732,1907.7,116625.96,308.88,2.3
Peas & beans (Pulses),2000,Rabi       ,West Bengal,7338,6111,1907.7,720371.46,1907.88,0.843333333
Potato,2000,Whole Year ,West Bengal,299664,7673130,1907.7,29418014.88,77912.64,22.39388889
Rice,2000,Autumn     ,West Bengal,393944,683950,1907.7,38673482.48,102425.44,1.648333333
Rice,2000,Summer     ,West Bengal,1401841,4541328,1907.7,137618731,364478.66,3.021111111
Rice,2000,Winter     ,West Bengal,3639538,7202760,1907.7,357293445.5,946279.88,1.876111111
Wheat,2000,Rabi       ,West Bengal,426000,1057610,1907.7,41820420,110760,2.330555556
Banana,2001,Whole Year ,Andhra Pradesh,50507,761365,928.4,5158279.91,13131.82,11.73363636
Coconut ,2001,Whole Year ,Andhra Pradesh,104244,1124969850,928.4,10646439.72,27103.44,9057.671111
Cotton(lint),2001,Kharif     ,Andhra Pradesh,1107852,1876698,928.4,113144924.8,288041.52,1.820454545
Onion,2001,Kharif     ,Andhra Pradesh,17736,234978,928.4,1811377.68,4611.36,12.74411765
Onion,2001,Rabi       ,Andhra Pradesh,14089,324477,928.4,1438909.57,3663.14,21.08136364
Potato,2001,Whole Year ,Andhra Pradesh,2348,14653,928.4,239801.24,610.48,5.85
Rice,2001,Kharif     ,Andhra Pradesh,2426073,6500545,928.4,247774835.5,630778.98,2.627272727
Rice,2001,Rabi       ,Andhra Pradesh,1398674,4889246,928.4,142846575.6,363655.24,3.025909091
Wheat,2001,Rabi       ,Andhra Pradesh,13793,9486,928.4,1408679.09,3586.18,0.6275
Banana,2001,Whole Year ,Assam,43600,606192,1824.7,4452868,11336,13.77652174
Coconut ,2001,Whole Year ,Assam,21067,163597000,1824.7,2151572.71,5477.42,7700.721304
Cotton(lint),2001,Kharif     ,Assam,1882,860,1824.7,192208.66,489.32,0.443913043
Onion,2001,Whole Year ,Assam,7476,17453,1824.7,763523.88,1943.76,2.351304348
Peas & beans (Pulses),2001,Rabi       ,Assam,24375,14305,1824.7,2489418.75,6337.5,0.587826087
Potato,2001,Whole Year ,Assam,80056,620571,1824.7,8176119.28,20814.56,7.350869565
Rice,2001,Autumn     ,Assam,495698,487719,1824.7,50625636.74,128881.48,1.120434783
Rice,2001,Summer     ,Assam,325987,653036,1824.7,33293052.31,84756.62,1.806521739
Rice,2001,Winter     ,Assam,1714736,2713493,1824.7,175125987.7,445831.36,1.600434783
Wheat,2001,Rabi       ,Assam,72245,85300,1824.7,7378381.85,18783.7,1.185217391
Banana,2001,Whole Year ,Goa,2100,15482,2530.6,214473,546,7.37
Coconut ,2001,Whole Year ,Goa,25025,125120000,2530.6,2555803.25,6506.5,4999.8
Rice,2001,Kharif     ,Goa,32746,79071,2530.6,3344348.98,8513.96,2.41
Rice,2001,Rabi       ,Goa,16637,47452,2530.6,1699136.81,4325.62,2.85
Coconut ,2001,Whole Year ,Karnataka,369828,1503638000,1002.9,37770533.64,96155.28,4164.951481
Cotton(lint),2001,Kharif     ,Karnataka,608479,612415,1002.9,62143960.27,158204.54,1.221428571
Onion,2001,Whole Year ,Karnataka,125815,721033,1002.9,12849485.95,32711.9,7.9108
Peas & beans (Pulses),2001,Whole Year ,Karnataka,6974,42197,1002.9,712254.62,1813.24,6.209444444
Potato,2001,Whole Year ,Karnataka,39156,473407,1002.9,3999002.28,10180.56,12.815
Rice,2001,Kharif     ,Karnataka,1087967,2393946,1002.9,111114069.7,282871.42,2.154814815
Rice,2001,Rabi       ,Karnataka,53480,99699,1002.9,5461912.4,13904.8,1.840714286
Rice,2001,Summer     ,Karnataka,276277,740400,1002.9,28216170.01,71832.02,2.4368
Wheat,2001,Rabi       ,Karnataka,260486,198822,1002.9,26603435.18,67726.36,0.777333333
Banana,2001,Whole Year ,Kerala,50871,375903,2946.7,5195455.23,13226.46,7.347857143
Coconut ,2001,Whole Year ,Kerala,905718,5479000000,2946.7,92500979.34,235486.68,5636.355
Cotton(lint),2001,Kharif     ,Kerala,3760,6069,2946.7,384008.8,977.6,1.61
Rice,2001,Autumn     ,Kerala,116540,235838,2946.7,11902230.2,30300.4,1.886923077
Rice,2001,Summer     ,Kerala,43850,105032,2946.7,4478400.5,11401,2.151428571
Rice,2001,Winter     ,Kerala,161978,362634,2946.7,16542813.14,42114.28,2.153571429
Cotton(lint),2001,Kharif     ,Meghalaya,7323,7873,4241,747897.99,1903.98,1.05
Potato,2001,Whole Year ,Meghalaya,18151,159032,4241,1853761.63,4719.26,7.288571429
Rice,2001,Kharif     ,Meghalaya,107761,188971,4241,11005630.93,28017.86,1.751428571
Wheat,2001,Rabi       ,Meghalaya,2753,4812,4241,281163.89,715.78,1.455
Banana,2001,Whole Year ,Puducherry,225,7461,1434.5875,22979.25,58.5,25.375
Coconut ,2001,Whole Year ,Puducherry,2282,22204000,1434.5875,233060.66,593.32,9725.08
Cotton(lint),2001,Kharif     ,Puducherry,575,2965,1434.5875,58724.75,149.5,5.23
Onion,2001,Whole Year ,Puducherry,16,251,1434.5875,1634.08,4.16,15.69
Rice,2001,Kharif     ,Puducherry,26263,66868,1434.5875,2682240.19,6828.38,2.415
Coconut ,2001,Whole Year ,West Bengal,38404,331603800,1556.6,3922200.52,9985.04,12368.60944
Cotton(lint),2001,Kharif     ,West Bengal,1795,4481,1556.6,183323.35,466.7,1.993333333
Peas & beans (Pulses),2001,Rabi       ,West Bengal,8836,5602,1556.6,902420.68,2297.36,0.596666667
Potato,2001,Whole Year ,West Bengal,299821,7822363,1556.6,30620718.73,77953.46,21.95444444
Rice,2001,Autumn     ,West Bengal,353048,731778,1556.6,36056792.24,91792.48,2.094705882
Rice,2001,Summer     ,West Bengal,1366273,4166145,1556.6,139537461.5,355230.98,2.788823529
Rice,2001,Winter     ,West Bengal,3783766,8917625,1556.6,386436021.6,983779.16,2.235294118
Wheat,2001,Rabi       ,West Bengal,434004,961533,1556.6,44324828.52,112841.04,2.109444444
Banana,2002,Whole Year ,Andhra Pradesh,39354,1027659,648.1,3725643.18,9838.5,26.83952381
Coconut ,2002,Whole Year ,Andhra Pradesh,105291,1158625735,648.1,9967898.97,26322.75,9202.625556
Cotton(lint),2002,Kharif     ,Andhra Pradesh,803274,1085739,648.1,76045949.58,200818.5,1.455238095
Onion,2002,Kharif     ,Andhra Pradesh,15403,171950,648.1,1458202.01,3850.75,10.49411765
Onion,2002,Rabi       ,Andhra Pradesh,11725,240657,648.1,1110005.75,2931.25,19.15952381
Potato,2002,Whole Year ,Andhra Pradesh,2672,18677,648.1,252958.24,668,6.946666667
Rice,2002,Kharif     ,Andhra Pradesh,2109301,5054013,648.1,199687525.7,527325.25,2.202727273
Rice,2002,Rabi       ,Andhra Pradesh,712766,2272773,648.1,67477557.22,178191.5,2.533636364
Wheat,2002,Rabi       ,Andhra Pradesh,11044,14898,648.1,1045535.48,2761,1.09
Banana,2002,Whole Year ,Assam,42631,589595,1973.6,4035876.77,10657.75,13.77652174
Coconut ,2002,Whole Year ,Assam,20919,160277000,1973.6,1980401.73,5229.75,6959.633043
Cotton(lint),2002,Kharif     ,Assam,1556,716,1973.6,147306.52,389,0.422608696
Onion,2002,Whole Year ,Assam,7500,17467,1973.6,710025,1875,2.337826087
Peas & beans (Pulses),2002,Rabi       ,Assam,23077,13684,1973.6,2184699.59,5769.25,0.585217391
Potato,2002,Whole Year ,Assam,75486,589916,1973.6,7146259.62,18871.5,7.566956522
Rice,2002,Autumn     ,Assam,464497,444884,1973.6,43973930.99,116124.25,1.076521739
Rice,2002,Summer     ,Assam,327468,622358,1973.6,31001395.56,81867,1.794347826
Rice,2002,Winter     ,Assam,1748715,2670560,1973.6,165550849.1,437178.75,1.545652174
Wheat,2002,Rabi       ,Assam,69061,77952,1973.6,6538004.87,17265.25,1.152272727
Banana,2002,Whole Year ,Goa,2116,15743,2516.3,200321.72,529,7.44
Coconut ,2002,Whole Year ,Goa,25068,122020000,2516.3,2373187.56,6267,4867.56
Rice,2002,Kharif     ,Goa,33728,90072,2516.3,3193029.76,8432,2.67
Rice,2002,Rabi       ,Goa,16441,44695,2516.3,1556469.47,4110.25,2.72
Banana,2002,Whole Year ,Kerala,55668,421809,2511.2,5270089.56,13917,8.055714286
Coconut ,2002,Whole Year ,Kerala,899198,5709000000,2511.2,85127074.66,224799.5,5969.78
Cotton(lint),2002,Kharif     ,Kerala,3400,5488,2511.2,321878,850,1.61
Rice,2002,Autumn     ,Kerala,112438,233217,2511.2,10644505.46,28109.5,2.130769231
Rice,2002,Summer     ,Kerala,41079,111850,2511.2,3888948.93,10269.75,2.212142857
Rice,2002,Winter     ,Kerala,157004,343792,2511.2,14863568.68,39251,2.123571429
Banana,2002,Whole Year ,Tamil Nadu,76771,2836916,315.9,7267910.57,19192.75,34.81964286
Coconut ,2002,Whole Year ,Tamil Nadu,345825,2860700000,315.9,32739252.75,86456.25,8497.531111
Cotton(lint),2002,Kharif     ,Tamil Nadu,75572,83542,315.9,7154401.24,18893,1.429230769
Onion,2002,Whole Year ,Tamil Nadu,23492,198715,315.9,2223987.64,5873,8.54625
Potato,2002,Whole Year ,Tamil Nadu,4537,73362,315.9,429517.79,1134.25,18.3475
Rice,2002,Kharif     ,Tamil Nadu,1516537,3577108,315.9,143570557.8,379134.25,2.884642857
Coconut ,2002,Whole Year ,West Bengal,24976,324194500,1629.1,2364477.92,6244,12229.29167
Cotton(lint),2002,Kharif     ,West Bengal,823,1474,1629.1,77913.41,205.75,2.875
Peas & beans (Pulses),2002,Rabi       ,West Bengal,10754,8635,1629.1,1018081.18,2688.5,0.807647059
Potato,2002,Summer     ,West Bengal,2395,30807,1629.1,226734.65,598.75,12.86
Potato,2002,Winter     ,West Bengal,346906,6871659,1629.1,32841591.02,86726.5,20.73388889
Rice,2002,Autumn     ,West Bengal,384965,796652,1629.1,36444636.55,96241.25,2.092777778
Rice,2002,Summer     ,West Bengal,1406078,4198595,1629.1,133113404.3,351519.5,2.747777778
Rice,2002,Winter     ,West Bengal,4051084,9393991,1629.1,383516122.3,1012771,2.221666667
Wheat,2002,Rabi       ,West Bengal,405350,887437,1629.1,38374484.5,101337.5,1.992777778
Banana,2003,Whole Year ,Andhra Pradesh,38714,515379,826,3831911.72,9291.36,15.68263158
Coconut ,2003,Whole Year ,Andhra Pradesh,103965,1195079360,826,10290455.7,24951.6,9524.628235
Cotton(lint),2003,Kharif     ,Andhra Pradesh,836892,1890394,826,82835570.16,200854.08,2.137619048
Onion,2003,Kharif     ,Andhra Pradesh,16862,234546,826,1669000.76,4046.88,12.80157895
Onion,2003,Rabi       ,Andhra Pradesh,12187,284935,826,1206269.26,2924.88,19.88333333
Potato,2003,Whole Year ,Andhra Pradesh,2648,24049,826,262099.04,635.52,9.045
Rice,2003,Kharif     ,Andhra Pradesh,2108904,5841539,826,208739317.9,506136.96,2.670909091
Rice,2003,Rabi       ,Andhra Pradesh,865734,3111263,826,85690351.32,207776.16,2.729090909
Wheat,2003,Rabi       ,Andhra Pradesh,11928,6741,826,1180633.44,2862.72,0.481818182
Banana,2003,Whole Year ,Assam,42982,594645,2213.7,4254358.36,10315.68,13.78478261
Coconut ,2003,Whole Year ,Assam,21309,154284000,2213.7,2109164.82,5114.16,6763.011739
Cotton(lint),2003,Kharif     ,Assam,1438,664,2213.7,142333.24,345.12,0.443478261
Onion,2003,Whole Year ,Assam,7332,17142,2213.7,725721.36,1759.68,2.34173913
Peas & beans (Pulses),2003,Rabi       ,Assam,25133,14866,2213.7,2487664.34,6031.92,0.586956522
Potato,2003,Whole Year ,Assam,77894,543070,2213.7,7709948.12,18694.56,6.471304348
Rice,2003,Autumn     ,Assam,441143,430374,2213.7,43664334.14,105874.32,1.118695652
Rice,2003,Summer     ,Assam,319480,573189,2213.7,31622130.4,76675.2,1.493913043
Rice,2003,Winter     ,Assam,1769203,2877371,2213.7,175115712.9,424608.72,1.618695652
Wheat,2003,Rabi       ,Assam,69954,73186,2213.7,6924046.92,16788.96,1.040909091
Banana,2003,Whole Year ,Goa,2179,16900,3011.6,215677.42,522.96,7.76
Coconut ,2003,Whole Year ,Goa,25110,122220000,3011.6,2485387.8,6026.4,4867.38
Rice,2003,Kharif     ,Goa,35471,115996,3011.6,3510919.58,8513.04,3.27
Rice,2003,Rabi       ,Goa,17330,54665,3011.6,1715323.4,4159.2,3.15
Banana,2003,Whole Year ,Karnataka,33220,431463,867.6,3288115.6,7972.8,14.36222222
Coconut ,2003,Whole Year ,Karnataka,375957,1529139000,867.6,37212223.86,90229.68,4165.193333
Cotton(lint),2003,Kharif     ,Karnataka,316674,264624,867.6,31344392.52,76001.76,1.192857143
Onion,2003,Whole Year ,Karnataka,101221,360469,867.6,10018854.58,24293.04,6.0956
Potato,2003,Whole Year ,Karnataka,53076,342752,867.6,5253462.48,12738.24,9.008666667
Rice,2003,Kharif     ,Karnataka,944272,2100123,867.6,93464042.56,226625.28,2.133333333
Rice,2003,Rabi       ,Karnataka,54629,158046,867.6,5407178.42,13110.96,2.892
Rice,2003,Summer     ,Karnataka,74998,292230,867.6,7423302.04,17999.52,3.8768
Wheat,2003,Rabi       ,Karnataka,231994,96150,867.6,22962766.12,55678.56,0.516428571
Banana,2003,Whole Year ,Kerala,55906,442220,2386,5533575.88,13417.44,8.215
Coconut ,2003,Whole Year ,Kerala,898498,5876000000,2386,88933332.04,215639.52,6097.778571
Cotton(lint),2003,Kharif     ,Kerala,2949,4748,2386,291892.02,707.76,1.61
Rice,2003,Autumn     ,Kerala,102770,220132,2386,10172174.6,24664.8,2.140769231
Rice,2003,Summer     ,Kerala,37186,83239,2386,3680670.28,8924.64,1.845
Rice,2003,Winter     ,Kerala,147384,266674,2386,14588068.32,35372.16,1.960714286
Banana,2003,Whole Year ,Meghalaya,5628,66875,3321.3,557059.44,1350.72,10.92714286
Cotton(lint),2003,Kharif     ,Meghalaya,7281,7792,3321.3,720673.38,1747.44,1.036666667
Potato,2003,Whole Year ,Meghalaya,18035,149428,3321.3,1785104.3,4328.4,7.241428571
Rice,2003,Kharif     ,Meghalaya,109721,200703,3321.3,10860184.58,26333.04,1.798571429
Wheat,2003,Rabi       ,Meghalaya,862,1540,3321.3,85320.76,206.88,1.49
Banana,2003,Whole Year ,Puducherry,280,10095,1434.5875,27714.4,67.2,26.56
Coconut ,2003,Whole Year ,Puducherry,2252,30732000,1434.5875,222902.96,540.48,12300.735
Cotton(lint),2003,Kharif     ,Puducherry,453,1747,1434.5875,44837.94,108.72,4.095
Onion,2003,Whole Year ,Puducherry,7,100,1434.5875,692.86,1.68,8.75
Rice,2003,Kharif     ,Puducherry,25065,67003,1434.5875,2480933.7,6015.6,2.993333333
Banana,2003,Whole Year ,Tamil Nadu,71088,2514729,345.6,7036290.24,17061.12,34.52965517
Coconut ,2003,Whole Year ,Tamil Nadu,352710,2560500000,345.6,34911235.8,84650.4,7781.805714
Cotton(lint),2003,Kharif     ,Tamil Nadu,97777,119687,345.6,9677967.46,23466.48,1.504615385
Onion,2003,Whole Year ,Tamil Nadu,23452,211173,345.6,2321278.96,5628.48,8.768076923
Potato,2003,Whole Year ,Tamil Nadu,4341,70103,345.6,429672.18,1041.84,17.054
Rice,2003,Kharif     ,Tamil Nadu,1396651,3222776,345.6,138240516,335196.24,2.728214286
Coconut ,2003,Whole Year ,West Bengal,24443,317488500,1526.7,2419368.14,5866.32,12370.06944
Cotton(lint),2003,Kharif     ,West Bengal,1429,2772,1526.7,141442.42,342.96,2.55
Peas & beans (Pulses),2003,Rabi       ,West Bengal,14607,17206,1526.7,1445800.86,3505.68,1.140588235
Potato,2003,Whole Year ,West Bengal,308425,7621635,1526.7,30527906.5,74022,21.86777778
Rice,2003,Autumn     ,West Bengal,339753,719205,1526.7,33628751.94,81540.72,2.131666667
Rice,2003,Summer     ,West Bengal,1390148,4289454,1526.7,137596849,333635.52,2.879444444
Rice,2003,Winter     ,West Bengal,4126706,9653580,1526.7,408461359.9,990409.44,2.283333333
Wheat,2003,Rabi       ,West Bengal,425721,985686,1526.7,42137864.58,102173.04,2.194444444
Banana,2004,Whole Year ,Karnataka,41977,526898,1117.7,4547788.18,8815.17,16.32777778
Coconut ,2004,Whole Year ,Karnataka,383206,1551729000,1117.7,41516538.04,80473.26,4165.395185
Cotton(lint),2004,Kharif     ,Karnataka,521860,624566,1117.7,56538312.4,109590.6,1.357142857
Onion,2004,Whole Year ,Karnataka,136038,841333,1117.7,14738356.92,28567.98,7.8688
Potato,2004,Whole Year ,Karnataka,51937,360759,1117.7,5626854.58,10906.77,10.17875
Rice,2004,Kharif     ,Karnataka,1055061,2627561,1117.7,114305308.7,221562.81,2.37
Rice,2004,Rabi       ,Karnataka,43861,144235,1117.7,4751900.74,9210.81,3.388666667
Rice,2004,Summer     ,Karnataka,209257,935326,1117.7,22670903.38,43943.97,4.251666667
Wheat,2004,Rabi       ,Karnataka,241991,206296,1117.7,26217304.94,50818.11,0.845333333
Banana,2004,Whole Year ,Kerala,58866,475371,2880.2,6377542.44,12361.86,7.803571429
Coconut ,2004,Whole Year ,Kerala,899267,6001000000,2880.2,97426586.78,188846.07,6112.145714
Cotton(lint),2004,Kharif     ,Kerala,1472,2370,2880.2,159476.48,309.12,1.61
Rice,2004,Autumn     ,Kerala,105349,241824,2880.2,11413510.66,22123.29,2.271538462
Rice,2004,Summer     ,Kerala,35732,89752,2880.2,3871204.88,7503.72,2.256923077
Rice,2004,Winter     ,Kerala,148893,335529,2880.2,16131067.62,31267.53,2.175714286
Banana,2004,Whole Year ,Meghalaya,6276,67838,4767.9,679941.84,1317.96,10.06571429
Cotton(lint),2004,Kharif     ,Meghalaya,7231,7765,4767.9,783406.54,1518.51,1.046666667
Potato,2004,Whole Year ,Meghalaya,17287,141622,4767.9,1872873.58,3630.27,7.178571429
Rice,2004,Autumn     ,Meghalaya,32667,37766,4767.9,3539142.78,6860.07,1.492857143
Rice,2004,Summer     ,Meghalaya,9224,37439,4767.9,999328.16,1937.04,2.078333333
Rice,2004,Winter     ,Meghalaya,69659,118514,4767.9,7546856.06,14628.39,1.792857143
Wheat,2004,Rabi       ,Meghalaya,863,1564,4767.9,93497.42,181.23,1.156666667
Banana,2004,Whole Year ,Tamil Nadu,81498,3461788,1034,8829493.32,17114.58,41.73931034
Coconut ,2004,Whole Year ,Tamil Nadu,357056,4097000000,1034,38683447.04,74981.76,10877.70276
Cotton(lint),2004,Kharif     ,Tamil Nadu,129364,185960,1034,14015295.76,27166.44,1.571153846
Onion,2004,Whole Year ,Tamil Nadu,26491,256359,1034,2870034.94,5563.11,9.490357143
Potato,2004,Whole Year ,Tamil Nadu,5034,79060,1034,545383.56,1057.14,16.0325
Rice,2004,Kharif     ,Tamil Nadu,1872822,5061622,1034,202901535.5,393292.62,3.015172414
Banana,2005,Whole Year ,Andhra Pradesh,45642,935517,1075.5,5473388.64,9584.82,23.9085
Coconut ,2005,Whole Year ,Andhra Pradesh,104438,891991928,1075.5,12524204.96,21931.98,7717.767778
Cotton(lint),2005,Kharif     ,Andhra Pradesh,1032629,2107984,1075.5,123832869.7,216852.09,1.727272727
Onion,2005,Kharif     ,Andhra Pradesh,20434,364201,1075.5,2450445.28,4291.14,15.5455
Onion,2005,Rabi       ,Andhra Pradesh,15952,332092,1075.5,1912963.84,3349.92,20.49047619
Potato,2005,Whole Year ,Andhra Pradesh,3275,29564,1075.5,392738,687.75,8.895
Rice,2005,Kharif     ,Andhra Pradesh,2526108,6376990,1075.5,302930871.4,530482.68,2.549090909
Rice,2005,Rabi       ,Andhra Pradesh,1455643,5326634,1075.5,174560708.6,305685.03,3.132272727
Wheat,2005,Rabi       ,Andhra Pradesh,11109,8891,1075.5,1332191.28,2332.89,0.774
Banana,2005,Whole Year ,Assam,41967,577713,2184.6,5032682.64,8813.07,13.70555556
Coconut ,2005,Whole Year ,Assam,19057,204937000,2184.6,2285315.44,4001.97,8486.539565
Cotton(lint),2005,Kharif     ,Assam,1352,632,2184.6,162131.84,283.92,0.4172
Onion,2005,Whole Year ,Assam,7726,18291,2184.6,926501.92,1622.46,2.373333333
Peas & beans (Pulses),2005,Rabi       ,Assam,17875,11309,2184.6,2143570,3753.75,0.618518519
Potato,2005,Whole Year ,Assam,69638,353696,2184.6,8350988.96,14623.98,5.326296296
Rice,2005,Autumn     ,Assam,398316,398077,2184.6,47766054.72,83646.36,1.132222222
Rice,2005,Summer     ,Assam,314671,559969,2184.6,37735346.32,66080.91,1.637692308
Rice,2005,Winter     ,Assam,1707340,2594392,2184.6,204744212.8,358541.4,1.502592593
Wheat,2005,Rabi       ,Assam,49961,53735,2184.6,5991323.12,10491.81,1.084230769
Banana,2005,Whole Year ,Karnataka,43562,517257,1316.2,5223955.04,9148.02,15.48037037
Coconut ,2005,Whole Year ,Karnataka,395885,1606890000,1316.2,47474529.2,83135.85,4165.660741
Cotton(lint),2005,Whole Year ,Karnataka,413310,585498,1316.2,49564135.2,86795.1,1.503333333
Onion,2005,Kharif     ,Karnataka,136344,759619,1316.2,16350372.48,28632.24,6.543913043
Onion,2005,Rabi       ,Karnataka,10900,112992,1316.2,1307128,2289,10.36952381
Onion,2005,Summer     ,Karnataka,4075,67545,1316.2,488674,855.75,16.31842105
Peas & beans (Pulses),2005,Kharif     ,Karnataka,4174,25514,1316.2,500546.08,876.54,5.612105263
Peas & beans (Pulses),2005,Rabi       ,Karnataka,686,4824,1316.2,82265.12,144.06,7.193333333
Peas & beans (Pulses),2005,Summer     ,Karnataka,525,2655,1316.2,62958,110.25,5.036875
Potato,2005,Kharif     ,Karnataka,67623,226399,1316.2,8109350.16,14200.83,3.381333333
Potato,2005,Rabi       ,Karnataka,5416,97924,1316.2,649486.72,1137.36,17.84
Potato,2005,Summer     ,Karnataka,317,5078,1316.2,38014.64,66.57,15.45
Rice,2005,Kharif     ,Karnataka,1075993,2770413,1316.2,129033080.6,225958.53,2.50962963
Rice,2005,Rabi       ,Karnataka,44944,97483,1316.2,5389684.48,9438.24,2.2675
Rice,2005,Summer     ,Karnataka,364244,1131350,1316.2,43680140.48,76491.24,3.0144
Wheat,2005,Rabi       ,Karnataka,252588,226369,1316.2,30290352.96,53043.48,0.880714286
Banana,2005,Whole Year ,Kerala,61400,491823,3030.9,7363088,12894,8.060714286
Coconut ,2005,Whole Year ,Kerala,897833,6326000000,3030.9,107668133.4,188544.93,6500.859286
Cotton(lint),2005,Kharif     ,Kerala,2655,3452,3030.9,318387.6,557.55,1.3
Rice,2005,Autumn     ,Kerala,98256,212520,3030.9,11782859.52,20633.76,2.096923077
Rice,2005,Summer     ,Kerala,21857,59733,3030.9,2621091.44,4589.97,2.345714286
Rice,2005,Winter     ,Kerala,155629,357734,3030.9,18663029.68,32682.09,2.189285714
Banana,2005,Whole Year ,Meghalaya,6426,71695,3374.4,770605.92,1349.46,10.22428571
Cotton(lint),2005,Kharif     ,Meghalaya,7231,7768,3374.4,867141.52,1518.51,1.046666667
